bn,name,acronyms,created_at,is_latest,alternatives
106816523RR0001,Macdermott Memorial United Church,UCW,2025-09-18 10:47:22,1,
106831290RR0001,Prospect Human Services Society,PROSPECTNOW,2025-09-18 10:47:22,1,
106863038RR0001,Canadian Lutheran World Relief,CLWR,2025-09-18 10:47:22,1,
106835101RR0001,Inclusion Northumberland,CLCB,2025-09-18 10:47:22,1,
106883978RR0001,College D'enseignement General Et Professionnel De St-Hyacinthe,CEGEPSTH,2025-09-18 10:47:22,1,Cégep de Saint-Hyacinthe
106890338RR0001,Centre Culturel Francophone De Vancouver,LECENTRECULTUREL,2025-09-18 10:47:22,1,
106915606RR0001,Chinese Community Library Services Association,CCLSA,2025-09-18 10:47:22,1,
106950306RR0001,Revival Of Canada Christian Ministries,ROC,2025-09-18 10:47:22,1,
106960719RR0001,Communauté Hellénique Du Grand Montréal / Hellenic Communityof Greater Montréal,HCGM,2025-09-18 10:47:22,1,
106987449RR0001,Cosmos Community Disability Services Foundation,COSMOSREDDEER,2025-09-18 10:47:22,1,
107020331RR0059,St. Teresa Of Calcutta,STFXSUSSEX,2025-09-18 10:47:22,1,
107273534RR0001,The Eastern Ontario Health Unit,EOHU,2025-09-18 10:47:22,1,
107294381RR0001,The Elizabeth Fry Society Of Northern Alberta,EFRYEDMONTON,2025-09-18 10:47:22,1,
107311177RR0001,Essex Region Conservation Authority,ERCA,2025-09-18 10:47:22,1,
107363194RR0001,La Fabrique De La Paroisse Sainte-Anne,JAIMEMAPAROISSE,2025-09-18 10:47:22,1,
107384752RR0001,First Baptist Church,FBC,2025-09-18 10:47:22,1,FBCPenticton
107409310RR0001,New Life Church Quesnel,NEWLIFEQUESNEL,2025-09-18 10:47:22,1,New Life Church
107436313RR0001,Community Living Glengarry Inc. - Integration Communautaire Glengarry Inc.,CLGLEN,2025-09-18 10:47:22,1,
107480626RR0001,High Adventure Gospel Communication Ministries,HAGCM,2025-09-18 10:47:22,1,
107507378RR0001,Inner City Pastoral Ministry Committee,ICPM,2025-09-18 10:47:22,1,
107607418RR0001,Club Des Ornithologues De La Gaspesie,COGASPESIE,2025-09-18 10:47:22,1,
107632325RR0001,Lloydminster Gospel Fellowship,LGF|LGF-PAOC,2025-09-18 10:47:22,1,
103660809RR0001,Mfl Occupational Health & Safety Centre Inc.,MFLOHC,2025-09-18 10:47:22,1,
106868474RR0001,Canadian Unitarian Council,CUC,2025-09-18 10:47:22,1,
106880065RR0001,Catholic Community Services Of York Region,CCSYR,2025-09-18 10:47:22,1,
106893530RR0001,Société Historique Pierre-De-Saurel Inc.,SHPS,2025-09-18 10:47:22,1,
106902299RR0001,Réseau Québécois Pour L'inclusion Sociale Des Personnes Sourdes Et Malentendantes (Requis),CQDA,2025-09-18 10:47:22,1,
106915812RR0001,Chinese Presbyterian Church,VANCPC,2025-09-18 10:47:22,1,
106921976RR0001,Christ The King Lutheran Church,CTKLCSURREY,2025-09-18 10:47:22,1,
106987605RR0001,Cote Des Neiges Presbyterian Church,MONTREALPRESBYTERIAN,2025-09-18 10:47:22,1,
107012130RR0001,Delta Community Music School Society,DCMS,2025-09-18 10:47:22,1,
100148196RR0001,L'alliance Francaise Du Manitoba Inc.,AFMANITOBA,2025-09-18 10:47:22,1,
100825322RR0001,Carrefour-Jeunesse D'iberville,MDJIBERVILLE,2025-09-18 10:47:22,1,
100304005RR0001,Association Du Quebec Pour Enfants Avec Problemes Auditifs,AQEPA,2025-09-18 10:47:22,1,
100810290RR0001,Cariboo Christian Life Fellowship,CCLF,2025-09-18 10:47:22,1,
100877596RR0001,Centre D'action Bénévole Mékinac,CABMEKINAC,2025-09-18 10:47:22,1,
101027613RR0001,Centre Pauline-Charron,CPC| LECPC,2025-09-18 10:47:22,1,
101476083RR0001,Downtown Blanshard Advisory Committee,DBAC,2025-09-18 10:47:22,1,
102313616RR0001,Hebergement L'entre-Deux,COOPTEL,2025-09-18 10:47:22,1,
102950425RR0001,La Maison Des Jeunes De Rivière-Des-Prairies,MAISONSDEJEUNES,2025-09-18 10:47:22,1,
101544351RR0001,The East End Child/Parent Development Centre Of Metro Toronto,EASTENDCHILDRENSCENTRE,2025-09-18 10:47:22,1,
102983913RR0001,Societe D'art Et D'histoire De Beauport Inc.,SAHB,2025-09-18 10:47:22,1,
103836722RR0001,National Screen Institute - Canada L'institut National Des Arts De L'ecran - Canada,NSI,2025-09-18 10:47:22,1,NSI Canada
104254768RR0001,Organisme De Justice Alternative Volteface,OJAVOLTEFACE,2025-09-18 10:47:22,1,
106680366RR0001,Oblate Fathers Of Assumption Province,OMIAP,2025-09-18 10:47:22,1,Missionary Oblates of Mary Immaculate
103244091RR0001,Maison Nationale Des Patriotes,MNDP,2025-09-18 10:47:22,1,
104000211RR0001,Ontario Federation Of School Athletic Associations,OFSAA,2025-09-18 10:47:22,1,
105004790RR0001,Foundation For Quality Child Care Inc.,ACW,2025-09-18 10:47:22,1,
106688641RR0001,Agincourt Community Services Association Inc.,ACSA,2025-09-18 10:47:22,1,
106720378RR0001,Quinte Vocational Support Services,QVSS,2025-09-18 10:47:22,1,
106785512RR0001,Bergfeld Mennonite Church,BERGFELDEMMC,2025-09-18 10:47:22,1,
106803745RR0001,Island Lake Christian Retreat Centre,ISLANDLAKECHRISTIANRETREATCENTRE,2025-09-18 10:47:22,1,
106720253RR0001,Archiepiscopal Corporation Of Regina,ARCHREGINA,2025-09-18 10:47:22,1,
106727829RR0001,Assiniboia Apostolic Church,FIREATAAC,2025-09-18 10:47:22,1,
106793235RR0001,Big Brothers Big Sisters Of Greater Halifax,BBBSHALIFAX,2025-09-18 10:47:22,1,
100296318RR0001,Association D'entraide Des Personnes Handicapées Physiques De Montréal (Alpha),ALPHA,2025-09-18 10:47:22,1,ALPHA MONTREAL
100305507RR0001,Association Quebecoise Pour Le Loisir Des Personnes Handicapees,AQLPH,2025-09-18 10:47:22,1,
100305663RR0001,Association Québécoise Plaidoyer-Victimes,AQPV,2025-09-18 10:47:22,1,
100305275RR0001,Vivre Grand,AISQ,2025-09-18 10:47:22,1,
101050417RR0001,Collectif Des Femmes Immigrantes Du Quebec,CFIQ,2025-09-18 10:47:22,1,
101546588RR0001,Master's College And Seminary,MCS,2025-09-18 10:47:22,1,
101756351RR0001,Federation Quebecoise Du Loisir Litteraire,FQLL,2025-09-18 10:47:22,1,
101835650RR0001,Fondation Des Ressources Alternatives Du Sud-Ouest,LAFRAS,2025-09-18 10:47:22,1,
100931203RR0001,Community Living Chatham-Kent,CLC-K,2025-09-18 10:47:22,1,
102935962RR0001,Centre De La Petite Enfance Pierrot La Lune Inc.,CPEPIERROTLALUNE,2025-09-18 10:47:22,1,
100893379RR0001,Centre Ressources Jeunesse De L'abitibi,CRJ-AT,2025-09-18 10:47:22,1,
101949527RR0001,Garneau/University Early Learning Centre Society,GUELC,2025-09-18 10:47:22,1,Garneau/University Early Learning Centre Society
101258077RR0001,Dancer Transition Resource Centre/Centre De Ressources Pour Danseurs En Transition,DTRC,2025-09-18 10:47:22,1,
102969524RR0001,La Maison Jaune Du Haut-Saint-François,CDFLAPASSERELLE,2025-09-18 10:47:22,1,
105119952RR0001,Table Regionale Des Organismes Volontaires D'education Populaire De Montreal,TROVEP,2025-09-18 10:47:22,1,TROVEP de Montréal
106686728RR0001,Holly Street Advocacy Centre For The Elderly Inc.,ACELAW,2025-09-18 10:47:22,1,
104790001RR0001,Service Alternatif D'intégration Et De Maintien En Emploi,SAIME,2025-09-18 10:47:22,1,
105460182RR0001,Un Prolongement A La Famille De Montreal,UPFM,2025-09-18 10:47:22,1,
106718943RR0001,Applegrove Community Complex,APPLEGROVECC,2025-09-18 10:47:22,1,
106705346RR0001,Alzheimer Society Southwest Partners,alzswp,2025-09-18 10:47:22,1,Alzheimer Society Southwest Partners
106793144RR0001,Big Brothers Big Sisters Of Saskatoon And Area Inc.,BBBSSASKATOON,2025-09-18 10:47:22,1,
106804651RR0001,Boys And Girls Club Of Wetaskiwin Society,WETASKIWINYOUTH,2025-09-18 10:47:22,1,
106728488RR0001,Association Des Familles Monoparentales Et Recomposees La Chaudiere,AFMRC,2025-09-18 10:47:22,1,
106773575RR0001,Independent Living Services Simcoe County,LLSSIMCOE,2025-09-18 10:47:22,1,
106792575RR0001,Bibliotheque Lennoxville Library,BIBLIOLENNOXVILLELIBRARY,2025-09-18 10:47:22,1,
106813108RR0001,Brockville & Area Community Living Association,BACLA,2025-09-18 10:47:22,1,
106830060RR0001,Developmental Disabilities Resource Centre Of Calgary,DDRC,2025-09-18 10:47:22,1,
106844640RR0001,Canadian National Baptist Convention,CCSB,2025-09-18 10:47:22,1,
106832868RR0001,Calvary Pentecostal Church,CALVARYPC,2025-09-18 10:47:22,1,
106861511RR0001,Radiation Safety Institute Of Canada/Institut De Radioprotection Du Canada,RSIC,2025-09-18 10:47:22,1,
106871726RR0001,Island Community Mental Health Association,CMHA,2025-09-18 10:47:22,1,
106880230RR0001,Catholic Family Services Of Hamilton-Wentworth,CFSHW,2025-09-18 10:47:22,1,
106887136RR0001,Central Lions Seniors Association,CLSA,2025-09-18 10:47:22,1,CLSA2
106893449RR0001,Centre De Counselling Familial De Timmins Inc.,TIMMINSFAMILYCOUNSELLING,2025-09-18 10:47:22,1,
106914294RR0001,The Children's Aid Society Of The Region Of Peel,PEELCAS,2025-09-18 10:47:22,1,
106918923RR0001,Christian Fellowship Chapel,CFCHAPEL,2025-09-18 10:47:22,1,
106954019RR0001,College Of The North Atlantic,CNA,2025-09-18 10:47:22,1,
106962764RR0001,Community Living Association For South Simcoe,CLASS,2025-09-18 10:47:22,1,
107270068RR0001,Dundas Street United Church,DSUC,2025-09-18 10:47:22,1,
107275380RR0001,Rosemount Bible Church - Église Biblique De Rosemont,RBC,2025-09-18 10:47:22,1,
107287187RR0001,Eglise Evangelique Baptiste De Shawinigan Sud,MONEGLISE,2025-09-18 10:47:22,1,
107354334RR0001,Evangelical Lutheran Church In Canada,ELCIC,2025-09-18 10:47:22,1,
107373581RR0001,Faith Mennonite Church,FMC| FMCLEAMINGTON,2025-09-18 10:47:22,1,
107379760RR0001,Greenwood Avenue Baptist Church,GBC,2025-09-18 10:47:22,1,GREENWOODBAPTIST CA
107395907RR0001,"Fort St. John, Association For Community Living",FSJACL,2025-09-18 10:47:22,1,
107430704RR0001,Gethsemane Lutheran Church,GLC,2025-09-18 10:47:22,1,
107469645RR0001,Hart Pioneer Centre Association,PGCOS,2025-09-18 10:47:22,1,
107508343RR0001,Institut D'histoire De L'amerique Francaise 1970,IHAF| IHAL,2025-09-18 10:47:22,1,
107542524RR0001,The John Howard Society Of North Island,JHSNI,2025-09-18 10:47:22,1,
107558264RR0001,Kaslo Community Services Society,NKLCSS,2025-09-18 10:47:22,1,
103378725RR0001,The London Cross-Cultural Learner Centre,CCLC| LCCLC,2025-09-18 10:47:22,1,
106865199RR0001,"Canadian Parents For French, Nova Scotia Branch",CPFNS,2025-09-18 10:47:22,1,
106874399RR0001,Carleton Memorial United Church,CMUC,2025-09-18 10:47:22,1,
106892714RR0001,Centre D'action Bénévole De La M.R.C. De Coaticook,CAB,2025-09-18 10:47:22,1,
106897689RR0001,Centre Evangelique De Laval Inc.,CEL,2025-09-18 10:47:22,1,
106914757RR0001,"Haldimand-Norfolk Resource, Education And Counselling Help",HNREACH,2025-09-18 10:47:22,1,
106920119RR0001,John Knox Christian School Association,JOHNKNOXBC,2025-09-18 10:47:22,1,John Knox Christian School
106962889RR0001,Community Living Renfrew County South,CLRCS,2025-09-18 10:47:22,1,
107270894RR0001,The Durham District School Board,DDSB,2025-09-18 10:47:22,1,
100762590RR0001,Canadian Country Music Association,CCMA,2025-09-18 10:47:22,1,
100304344RR0001,Association Haitiano-Canado-Quebecoise D'aide Aux Demunis,AHCQ,2025-09-18 10:47:22,1,
100319797RR0001,Ateliers T.A.Q. Inc.,TAQ,2025-09-18 10:47:22,1,ATELIERSTAQ COM| Groupe TAQ
100876689RR0001,Centre Communautaire Des Femmes Sud-Asiatique,CCFSA| SAWCC,2025-09-18 10:47:22,1,
100887082RR0001,Centre D'etudes Et De Recherches Pour L'avancement De La Construction Au Quebec,CERACQ,2025-09-18 10:47:22,1,
101094266RR0001,Aumkara Inc.,AUMKARA,2025-09-18 10:47:22,1,
103018487RR0001,"La Maison Des Jeunes, Cafe-Rencontre 12-17 Du Grand Joliette",MAISONDESJEUNESGRANDJOLIETTE,2025-09-18 10:47:22,1,
102510385RR0001,Universal Peace Federation / Fédération Pour La Paix Universelle,UPF,2025-09-18 10:47:22,1,
102934213RR0001,La Fondation Mgr Jean-Marie Fortier Inc.,JECROIS,2025-09-18 10:47:22,1,
104010863RR0001,Orchestre Symphonique De Longueuil,OSDL,2025-09-18 10:47:22,1,
105255178RR0001,The Toronto Evangelistic Association,EVANGELTEMPLE,2025-09-18 10:47:22,1,
106692833RR0001,Christian Health Association Of Alberta,CHAA,2025-09-18 10:47:22,1,
103480729RR0001,Manitoba Agricultural Hall Of Fame Inc.,MANITOBAAGHALLOFFAME,2025-09-18 10:47:22,1,
105201156RR0001,Neurological Sciences Foundation Of Canada Inc.,CNSF,2025-09-18 10:47:22,1,
106683436RR0001,Santé Mentale Québec-Lac St-Jean,ACSM| ACSMLSJ,2025-09-18 10:47:22,1,L'Association Canadienne pour la Santé Mentale (ACSM) du Saguenay-Lac-Saint-Jean
106696784RR0001,Alderwood United Church,ALDERWOODUC,2025-09-18 10:47:22,1,
106717382RR0001,Living Way Life Church,LIFECHURCHBC,2025-09-18 10:47:22,1,Living Way Life Church
106725260RR0001,Ascension Lutheran Church,ALCHURCH,2025-09-18 10:47:22,1,
106798804RR0001,Blue Heron Support Services Association,BHSSA,2025-09-18 10:47:22,1,
106806557RR0001,Brander Gardens After School Parents Association,BGASPA,2025-09-18 10:47:22,1,
106714793RR0001,Annapolis Valley Historical Society,MACDONALDMUSEUM,2025-09-18 10:47:22,1,Annapolis Valley Macdonald Museum
106723273RR0001,Arrow Lakes Historical Society,ALHS,2025-09-18 10:47:22,1,
106730278RR0001,Société De Soins Palliatifs À Domicile Du Grand Montréal,SSPAD,2025-09-18 10:47:22,1,
106819105RR0001,Burnaby Arts Council,BAC,2025-09-18 10:47:22,1,
106833643RR0001,Calvin United Church,CALVINUNITEDPEMBROKE,2025-09-18 10:47:22,1,
106863947RR0001,Canadian Mental Health Association - Cochrane - Timiskaming Branch,CMHACT,2025-09-18 10:47:22,1,CMHA Cochrane-Timiskaming
106831753RR0001,Calvary Baptist Church,CALVARYBAPTISTCHATEAUGUAY,2025-09-18 10:47:22,1,
106844822RR0001,Canadian Centre For Diversity And Inclusion/Centre Canadien Pour La Diversité Et L'inclusion,CCDI,2025-09-18 10:47:22,1,
106870983RR0001,Cape Breton Christian Fellowship Church,CBFELLOWSHIP,2025-09-18 10:47:22,1,
106892946RR0001,Centre D'aide Et De Lutte Contre Les Aggressions Sexuelles De L'outaouais,CALAS,2025-09-18 10:47:22,1,CALAS de l'Outaouais
106913502RR0001,Child Evangelism Fellowship Of Canada,CEF,2025-09-18 10:47:22,1,CEF Canada
106924194RR0001,Church Of God Wetaskiwin,WETASKIWINCHURCHOFGOD,2025-09-18 10:47:22,1,
106953342RR0001,College Heights Baptist Church,CHBC,2025-09-18 10:47:22,1,
106963739RR0001,Community Therapy Services Inc.,CTSINC,2025-09-18 10:47:22,1,
106994148RR0001,Crowchild Twin Arena Association,CTAA,2025-09-18 10:47:22,1,
107020232RR0017,Anglican Parish Of Gander,GANDERCATHEDRAL,2025-09-18 10:47:22,1,
107355026RR0001,Evangel Temple,EVANGELNAPANEE,2025-09-18 10:47:22,1,
107374308RR0001,Falmouth United Baptist Church,FALMOUTHBAPTOSTCHURCH,2025-09-18 10:47:22,1,
107385619RR0001,The First Christian Reformed Church Of Kitchener Inc.,ccrc,2025-09-18 10:47:22,1,
107425944RR0001,George Street United Pastoral Charge,GEORGESTUNITEDCHURCH,2025-09-18 10:47:22,1,
107436636RR0001,Gca Educational Society,GCASCHOOL,2025-09-18 10:47:22,1,
107443889RR0001,Grace Christian Reformed Church Of Scarborough,GRACECRC,2025-09-18 10:47:22,1,
107459901RR0001,Habitation Baptist Church,Hbc,2025-09-18 10:47:22,1,
107493439RR0001,Hôtel-Dieu Grace Healthcare,HDGH,2025-09-18 10:47:22,1,
107505356RR0001,Independent Living Waterloo Region,ILCWR,2025-09-18 10:47:22,1,
107554321RR0001,Junior Achievement Of Northern Alberta,JANORTHALBERTA,2025-09-18 10:47:22,1,
107564338RR0001,"Women's Shelter, Saakaate House Inc.",WSSH,2025-09-18 10:47:22,1,
107577173RR0001,Kootenay Region Association For Community Living,KRACL,2025-09-18 10:47:22,1,
107585085RR0001,La Corporation Episcopale Catholique Romaine De Prince Albert,PADIOCESE,2025-09-18 10:47:22,1,Roman Catholic Diocese of Prince Albert
107631004RR0001,Living Hope Community Church Inc.,LHCC,2025-09-18 10:47:22,1,
103481032RR0001,Manitoba Council For International Co-Operation Inc.,MCIC,2025-09-18 10:47:22,1,
106871122RR0001,Cape Breton Regional Library Board,CBRL,2025-09-18 10:47:22,1,
106893159RR0001,Centre D'action Bénévole De La Mitis,ACTIONBENEVOLEBSL,2025-09-18 10:47:22,1,
106903537RR0001,Quinte Educational Museum And Archives,QEMA,2025-09-18 10:47:22,1,
106917610RR0002,Christ Church,CHRISTCHURCHCHATHAM,2025-09-18 10:47:22,1,
106924301RR0001,Church Of God In Western Canada,WCCOG,2025-09-18 10:47:22,1,
106960610RR0001,L'Église Réformée St-Jean,ERQ,2025-09-18 10:47:22,1,
106964034RR0001,Comox Valley Child Development Association,CVCDA,2025-09-18 10:47:22,1,
107010886RR0001,Fish Creek United Church,dpuc,2025-09-18 10:47:22,1,
107020331RR0046,St. Marguerite Bourgeoys Parish,SAINTMARYSRCMIRAMICHI,2025-09-18 10:47:22,1,
107307191RR0028,Saint Eugene De Mazenod Church,KLMCATHOLIC,2025-09-18 10:47:22,1,
107373094RR0001,Fort Langley Evangelical Free Church,FLEFC,2025-09-18 10:47:22,1,
107384083RR0001,First Baptist Church,FBC| FIRSTBAPTISTBRAMPTON,2025-09-18 10:47:22,1,
107386815RR0001,First Hungarian Presbyterian Church,TEMRE,2025-09-18 10:47:22,1,
107396905RR0065,Praise Christian Family Foursquare Gospel Church,PCFC,2025-09-18 10:47:22,1,
107414963RR0001,Global Child Care Services/Services Globaux Pour Enfants,GCCS,2025-09-18 10:47:22,1,
107444465RR0001,Grace International Baptist Church,GIBC| GIBCVANCOUVER,2025-09-18 10:47:22,1,
107482564RR0001,Hillhurst-Sunnyside Community Association,HSCA,2025-09-18 10:47:22,1,
107527285RR0001,Jasper Place Baptist Church,JPBC,2025-09-18 10:47:22,1,
107563124RR0001,Kennedy Rd. Church Of The Nazarene,KRCNAZ,2025-09-18 10:47:22,1,
107576308RR0001,Knox United Church,KUC,2025-09-18 10:47:22,1,
108085457RR0001,John Knox Christian School Society Of Woodstock,WOODSTOCKCHRISTIAN,2025-10-14 17:41:11,1,
887457661RR0001,Just Push Play Theatre Society,JUSTPUSHPLAY,2025-10-14 17:41:11,1,
102540473RR0001,Israel Cancer Research Fund-Fondation D'israel Pour La Recherche Sur Le Cancer,ICRF,2025-10-14 17:41:11,1,
882759715RR0001,Japanese Gospel Church Of Toronto,JGCT,2025-10-14 17:41:11,1,
873952501RR0001,Jesus Christ The Giver Of Life Ministries,JCGLCANADA| JCGL,2025-10-14 17:41:11,1,
135585735RR0001,Jewish Genealogical Society Of Toronto,JGSTORONTO,2025-10-14 17:41:11,1,Jewish Genealogical Society of Toronto| Jewish Genealogical Society of Canada - Toronto
131970634RR0001,"John Calvin Christian School Society, Guelph",GUELPHCCS,2025-10-14 17:41:11,1,
118976166RR0001,Junior Achievement Of British Columbia,JABC,2025-10-14 17:41:11,1,
118987643RR0001,Kitchener-Waterloo Young Women's Christian Association,YW,2025-10-14 17:41:11,1,YW Kitchener-Waterloo
118977081RR0001,Kamloops Family History Society,KFHS,2025-10-14 17:41:11,1,
139905848RR0001,Kamloops Family Resources Society,KFRS,2025-10-14 17:41:11,1,
859651275RR0001,Kanata Muslim Association,KMA,2025-10-14 17:41:11,1,
140416884RR0001,Kawartha World Issues Centre,KWIC,2025-10-14 17:41:11,1,
118978808RR0001,Kelowna Community Music School Society,KCMS,2025-10-14 17:41:11,1,
118979459RR0001,Kennedy Road Tabernacle Benevolent Association,KRT,2025-10-14 17:41:11,1,
819630344RR0001,Kincardine Summer Music Festival Inc.,KSMF,2025-10-14 17:41:11,1,
118982297RR0001,Kingston Standard Church,KSCHURCH,2025-10-14 17:41:11,1,
118983543RR0001,Kitchener - Waterloo Little Theatre,KWLT,2025-10-14 17:41:11,1,
107572976RR0001,Kitsilano War Memorial Community Centre Association,KITSCC,2025-10-14 17:41:11,1,
875239022RR0001,Kiwanis Music Festival Windsor-Essex County,WKMF,2025-10-14 17:41:11,1,
863251526RR0001,Kashruth Council Of Canada/Le Conseil Cacherout Du Canada,COR,2025-10-14 17:41:11,1,
132351107RR0001,Kelowna Family Service Centre Society,KFSCS,2025-10-14 17:41:11,1,
107568750RR0001,Kimbourne Park United Church,KPUC,2025-10-14 17:41:11,1,
132726472RR0001,Knox Presbyterian Church,knoxvkh,2025-10-14 17:41:11,1,
887930428RR0001,Centre Chretien Parole De Vie (Ccpv Toronto),CCPV| IWLCC,2025-10-14 17:41:11,1,Centre Chretien Parole de Vie| CCPV Toronto
868845892RR0001,King`S Meadow Residence Society,KMRS,2025-10-14 17:41:11,1,
894822220RR0001,Kings Point-To-Point Transit Society,KPPT,2025-10-14 17:41:11,1,
118982396RR0001,Kingston-West Free Methodist Church,KINGSTONWESTFMC| FMC,2025-10-14 17:41:11,1,
886386796RR0001,Kitchener-Waterloo Community Orchestra Inc.,KWCO,2025-10-14 17:41:11,1,
891257545RR0001,Kivalliq Science Educators Community,KSEC,2025-10-14 17:41:11,1,
120494877RR0001,L'association Des Personnes Handicapees De Bellechasse (L'a P H B ),APHB| APHBELLECHASSE,2025-10-14 17:41:11,1,
888093861RR0001,L'association Historique Francophone De Victoria,AHFV,2025-10-14 17:41:11,1,
888283447RR0001,L'eglise Baptiste Hispanique Lumiere Et Verite / Iglesia Bautista Hispana Luz Y Verdad,LUZYVERDAD,2025-10-14 17:41:11,1,
141590364RR0001,L'Église Baptiste Centrale De Laval,EBCL,2025-10-14 17:41:11,1,
119106904RR0001,La Fédération Québécoise Des Associations Foyers-Écoles/Québec Federation Of Home And School Associations,QFHSA,2025-10-14 17:41:11,1,
141126805RR0001,L'ecrit Tot De Saint-Hubert,ECRITOT,2025-10-14 17:41:11,1,
108184904RR0001,L'eglise Copte Orthodoxe De La Vierge Marie / Virgin Mary Coptic Orthodox Church,VIRGINMARYMTL,2025-10-14 17:41:11,1,
858445190RR0001,L'orchestre Symphonique De Gatineau,OSG| OSGATINEAU,2025-10-14 17:41:11,1,
864728696RR0001,Église De La Victoire Du Québec / Quebec Victory Church,EVAMEDIA,2025-10-21 10:47:22,1,
107282246RR0001,Edmonton Chinese Christian Church (Protestant),ECCC,2025-09-18 10:47:22,1,
107299455RR0001,Elmwood Mennonite Brethren Church,ELMWOODMB,2025-09-18 10:47:22,1,
107372567RR0001,Faith Baptist Church,FAITHBAPTISTMOUNTFOREST,2025-09-18 10:47:22,1,
107374910RR0001,"Family And Children's Services Of Lanark, Leeds And Grenville",FCSLLG,2025-09-18 10:47:22,1,
107387342RR0001,First Presbyterian Church,FIRSTPRESCOLLINGWOOD,2025-09-18 10:47:22,1,
107396905RR0056,Strong Tower Foursquare Gospel Church,STRONGTOWER4SQ,2025-09-18 10:47:22,1,
107396962RR0001,Fourth Avenue Baptist Church,FOURTHAVEBAPTIST,2025-09-18 10:47:22,1,
107406316RR0013,Edmonton Free Methodist Church,EDMONTONFMC,2025-09-18 10:47:22,1,
107438582RR0001,Golden Community Resources Society,GCRS,2025-09-18 10:47:22,1,
107446817RR0002,The Board Of Trustees Of Grande Prairie Roman Catholic Separate School Division,GPCSD,2025-09-18 10:47:22,1,
107454506RR0001,Groves Memorial Community Hospital,GMCH,2025-09-18 10:47:22,1,
107507899RR0001,Institut Donald J. Savoie Institute,IDJS,2025-09-18 10:47:22,1,Institut Donald J  Savoie
107575250RR0001,Knox Presbyterian Church,KNOXGEORGETOWN,2025-09-18 10:47:22,1,
107599938RR0001,Posa/Source Des Monts,POSASDM,2025-09-18 10:47:22,1,
103562484RR0001,Matinees Meres-Enfants Inc.,LESMATINEES,2025-09-18 10:47:22,1,
891299760RR0001,Kawartha-Haliburton Crime Stoppers Incorporated,KHCS,2025-10-14 17:41:11,1,
842921298RR0001,Jazz Performance And Education Centre,JPEC,2025-10-14 17:41:11,1,
118972702RR0001,James Bay Health And Community Services Society,JBCP,2025-10-14 17:41:11,1,James Bay Community Project
812160075RR0001,Croquarium,CROQUARIUM,2025-10-14 17:41:11,1,
896356771RR0001,Jewish Community Foundation Of Calgary,JCFC,2025-10-14 17:41:11,1,
123646002RR0001,Joseph D Carrier Art Gallery Inc,JDC,2025-10-14 17:41:11,1,
108085606RR0001,Junior Farmers' Association Of Ontario,JFAO,2025-10-14 17:41:11,1,
861356970RR0001,Kadampa Meditation Centre Canada,KMCC,2025-10-14 17:41:11,1,
118976745RR0001,Kairos Community Resource Centre,KAIROSCRC,2025-10-14 17:41:11,1,
118977271RR0001,Kamloops Sexual Assault Counselling Centre Society,KSACC,2025-10-14 17:41:11,1,
886668888RR0001,Kamloops Heritage Railway Society,KAMRAIL,2025-10-14 17:41:11,1,
892303603RR0001,Kennebecasis Valley - Community - Capacity - Children Inc.,KV3C,2025-10-14 17:41:11,1,
